Laser (%),MW (dBm),Slope,Intercept,R2
20.0,-5.0,-0.0895263343613848,2872.1380898686416,0.998953042025917
20.0,0.0,-0.09041385113183775,2872.1663330259053,0.9970509568461102
20.0,5.0,-0.08690715161081396,2871.9825557144472,0.9976024153402323
50.0,-5.0,-0.0904144189517228,2872.2808829010046,0.9968668176757316
50.0,0.0,-0.09264899039224449,2872.356407068905,0.9916657240771758
50.0,5.0,-0.09618030320974563,2872.5883943683098,0.9994457670190278
100.0,-5.0,-0.08779290039537187,2871.989615575694,0.9931968744774867
100.0,0.0,-0.08837832648807256,2872.0019914316163,0.9968490576168564
100.0,5.0,-0.09129192436648738,2872.1583730374314,0.9973504705606426
